time TAmb TDif TRes _block_jacobian_check _block_jacobian_check_tol _block_solver_experimental_mode _cs_rel_tol _cs_solver _cs_step_size _enforce_bounds _events_default_tol _events_tol_factor _iteration_variable_scaling _log_level _nle_solver_check_jac_cond _nle_solver_default_tol _nle_solver_max_iter _nle_solver_min_tol _nle_solver_regularization_tolerance _nle_solver_step_limit_factor _nle_solver_tol_factor _rescale_after_singular_jac _rescale_each_step _residual_equation_scaling _runtime_log_to_file _use_Brent_in_1d _use_jacobian_equilibration and1.u1 and1.u2 and1.y constantVoltage.V constantVoltage.n.v constantVoltage.p.v fixedtemperature2.T ground.p.i heatcapacitor1.C heatcapacitor1.T heatcapacitor1.der(T) heatcapacitor1.der_T heatcapacitor1.port.Q_flow heatingResistor.R heatingResistor.R_ref heatingResistor.T heatingResistor.T_ref heatingResistor.alpha heatingResistor.heatPort.Q_flow heatingResistor.p.i heatingResistor.p.v heatingResistor.useHeatPort heatingResistor.v idealSwitch.Goff idealSwitch.LossPower idealSwitch.Ron idealSwitch.T idealSwitch.control idealSwitch.s idealSwitch.unitCurrent idealSwitch.unitVoltage idealSwitch.useHeatPort idealSwitch.v logicalNot.u onOffController.bandwidth onOffController.pre_y_start onOffController.reference onOffController.u or1.u2 ramp.duration ramp.height ramp.offset ramp.startTime select1.k select2.k temperaturesensor1.port.Q_flow thermalconductor1.G thermalconductor1.dT thermalconductor1.port_a.Q_flow
5.699999999999996 293.15 2 314.0404246891787 0 1e-06 0 1e-06 0 0.001 0 1e-10 0.0001 1 3 0 1e-10 100 1e-12 -1 10 0.0001 1 0 1 0 0 0 0 1 0 10 0 10 293.15 0 1 314.0404246891787 7.153740382467491 7.153740382467491 7.153740382467491 10.81923234075211 10 293.15 293.15 0.00392156862745098 -9.242782851385368 0.9242791394304644 9.999990757208606 1 9.999990757208606 1e-05 8.542919276016378e-06 1e-05 293.15 0 0.9242791394304644 1 1 0 9.242791394470373e-06 1 2 0 40.41666666666665 40.89042468917876 0 6 25 25 2 0 1 0 0.1 20.89042468917876 2.089042468917876
5.799999999999995 293.15 2 314.7510923939098 0 1e-06 0 1e-06 0 0.001 0 1e-10 0.0001 1 3 0 1e-10 100 1e-12 -1 10 0.0001 1 0 1 0 0 0 0 1 0 10 0 10 293.15 0 1 314.7510923939098 7.058926290151485 7.058926290151485 7.058926290151485 10.84710166250627 10 293.15 293.15 0.00392156862745098 -9.219035529542467 0.9219044028619746 9.999990780955972 1 9.999990780955972 1e-05 8.499077279343289e-06 1e-05 293.15 0 0.9219044028619746 1 1 0 9.219044027730661e-06 1 2 0 40.83333333333331 41.60109239390982 0 6 25 25 2 0 1 0 0.1 21.60109239390982 2.160109239390982
5.899999999999995 293.15 2 315.4522828598094 0 1e-06 0 1e-06 0 0.001 0 1e-10 0.0001 1 3 0 1e-10 100 1e-12 -1 10 0.0001 1 0 1 0 0 0 0 1 0 10 0 10 293.15 0 1 315.4522828598094 6.965495903089876 6.965495903089876 6.965495903089876 10.87459932783566 10 293.15 293.15 0.00392156862745098 -9.195724189070816 0.9195732645220704 9.999990804267355 1 9.999990804267355 1e-05 8.456149887744735e-06 1e-05 293.15 0 0.9195732645220704 1 1 0 9.19573264468454e-06 1 2 0 41.24999999999998 42.3022828598094 0 6 25 25 2 0 1 0 0.1 22.3022828598094 2.23022828598094
5.999999999999995 293.15 2 316.1441872704281 0 1e-06 0 1e-06 0 0.001 0 1e-10 0.0001 1 3 0 1e-10 100 1e-12 -1 10 0.0001 1 0 1 0 0 0 0 1 0 10 0 10 293.15 0 1 316.1441872704281 6.873418111342133 6.873418111342133 6.873418111342133 10.90173283413444 10 293.15 293.15 0.00392156862745098 -9.172836838384947 0.917284525249395 9.999990827154749 1 9.999990827154749 1e-05 8.414109001589677e-06 1e-05 293.15 0 0.917284525249395 1 1 0 9.172845251370632e-06 1 2 0 41.66666666666664 42.99418727042814 0 6 25 25 2 0 1 0 0.1 22.99418727042814 2.299418727042814
6.099999999999994 293.15 2 316.8270008256765 0 1e-06 0 1e-06 0 0.001 0 1e-10 0.0001 1 3 0 1e-10 100 1e-12 -1 10 0.0001 1 0 1 0 0 0 0 1 0 10 0 10 293.15 0 1 316.8270008256765 6.782661539518851 6.782661539518851 6.782661539518851 10.92850983630104 10 293.15 293.15 0.00392156862745098 -9.1503616220865 0.9150369995013603 9.999990849630006 1 9.999990849630006 1e-05 8.372927103783215e-06 1e-05 293.15 0 0.9150369995013603 1 1 0 9.150369994159746e-06 1 2 0 42.08333333333331 43.67700082567649 0 6 25 25 2 0 1 0 0.1 23.67700082567649 2.367700082567649
6.199999999999994 293.15 2 317.5008192256077 0 1e-06 0 1e-06 0 0.001 0 1e-10 0.0001 1 3 0 1e-10 100 1e-12 -1 10 0.0001 1 0 1 0 0 0 0 1 0 10 0 10 293.15 0 1 317.5008192256077 6.693208274112903 6.693208274112903 6.693208274112903 10.95493408727873 10 293.15 293.15 0.00392156862745098 -9.128290196673676 0.912829852925708 9.99999087170147 1 9.99999087170147 1e-05 8.332583404148919e-06 1e-05 293.15 0 0.912829852925708 1 1 0 9.128298529503809e-06 1 2 0 42.49999999999997 44.35081922560772 0 6 25 25 2 0 1 0 0.1 24.35081922560772 2.435081922560772
6.299999999999994 293.15 2 318.1657611896222 0 1e-06 0 1e-06 0 0.001 0 1e-10 0.0001 1 3 0 1e-10 100 1e-12 -1 10 0.0001 1 0 1 0 0 0 0 1 0 10 0 10 293.15 0 1 318.1657611896222 6.605037540181428 6.605037540181428 6.605037540181428 10.98101024273028 10 293.15 293.15 0.00392156862745098 -9.106613659143648 0.9106621952199986 9.999990893378047 1 9.999990893378047 1e-05 8.293056338325942e-06 1e-05 293.15 0 0.9106621952199986 1 1 0 9.106621952525984e-06 1 2 0 42.91666666666664 45.0157611896222 0 6 25 25 2 0 1 0 0.1 25.0157611896222 2.50157611896222
6.399999999999993 293.15 2 318.8219503778893 0 1e-06 0 1e-06 0 0.001 0 1e-10 0.0001 1 3 0 1e-10 100 1e-12 -1 10 0.0001 1 0 1 0 0 0 0 1 0 10 0 10 293.15 0 1 318.8219503778893 6.518128105652529 6.518128105652529 6.518128105652529 11.00674315207409 10 293.15 293.15 0.00392156862745098 -9.085323143441464 0.9085331397766124 9.999990914668603 1 9.999990914668603 1e-05 8.254324660417468e-06 1e-05 293.15 0 0.9085331397766124 1 1 0 9.085331397429286e-06 1 2 0 43.3333333333333 45.67195037788935 0 6 25 25 2 0 1 0 0.1 25.67195037788935 2.567195037788935
6.499999999999993 293.15 2 319.4695106925926 0 1e-06 0 1e-06 0 0.001 0 1e-10 0.0001 1 3 0 1e-10 100 1e-12 -1 10 0.0001 1 0 1 0 0 0 0 1 0 10 0 10 293.15 0 1 319.4695106925926 6.432458899572543 6.432458899572543 6.432458899572543 11.03213767421932 10 293.15 293.15 0.00392156862745098 -9.064409968831802 0.9064418185199505 9.999990935581815 1 9.999990935581815 1e-05 8.216367703377064e-06 1e-05 293.15 0 0.9064418185199505 1 1 0 9.064418184934198e-06 1 2 0 43.74999999999997 46.31951069259259 0 6 25 25 2 0 1 0 0.1 26.31951069259259 2.631951069259259
6.599999999999993 293.15 2 320.1085647356538 0 1e-06 0 1e-06 0 0.001 0 1e-10 0.0001 1 3 0 1e-10 100 1e-12 -1 10 0.0001 1 0 1 0 0 0 0 1 0 10 0 10 293.15 0 1 320.1085647356538 6.348009209383914 6.348009209383914 6.348009209383914 11.05719861708446 10 293.15 293.15 0.00392156862745098 -9.043865682949294 0.9043873862114736 9.999990956126139 1 9.999990956126139 1e-05 8.1791654427003e-06 1e-05 293.15 0 0.9043873862114736 1 1 0 9.04387386135852e-06 1 2 0 44.16666666666664 46.95856473565379 0 6 25 25 2 0 1 0 0.1 26.95856473565379 2.69585647356538
